id,nombre,apellidoPaterno,apellidoMaterno,ci,fechaNacimiento,telefono,sexo,direccion,email,email_verified_at,password,type,remember_token,created_at,updated_at
1,JOAQUIN,CHUMACERO,ANTELO,8093807,'1974-08-01',70000006,M,BARRIO LINDO N°15,admin@gmail.com,,8093807,Adm.,,2024-06-07  5:32:46,2024-06-07  5:32:46
2,EDSON,LOPEZ,RIVERA,8093809,'1984-04-01',74125896,M,BARRIO FE Y ALEGRIA N°35,EDSONLOPEZRIVERA@gmail.com,,8093809,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
3,GUILLERMO,SUBIRANA,MENDEZ,8093810,'2018-07-01',74125897,M,BARRIO FE Y ALEGRIA N°35,GUILLERMOSUBIRANAMENDEZ@gmail.com,,8093810,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
4,LUIS,CHAVEZ,RIVERO,8093811,'2016-05-01',74125898,M,BARRIO FE Y ALEGRIA N°35,LUISCHAVEZRIVERO@gmail.com,,8093811,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
5,MARIO,MAMANI,QUISPE,8093812,'1993-08-01',74125899,M,CALLE 24 SEPT. N°45,MARIOMAMANIQUISPE@gmail.com,,8093812,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
6,YOANI,TABOADA,AYALA,8093816,'1983-08-05',74125903,F,AV. IRALA N° 57,YOANITABOADAAYALA@gmail.com,,8093816,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
7,RUTH,HUAYLLAS,CHOQUE,8093820,'1990-08-09',74125907,F,AV. IRALA N° 61,RUTHHUAYLLASCHOQUE@gmail.com,,8093820,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
8,JOSEFINA,MENDES,ROCA,8093817,'1995-08-06',74125904,F,AV. IRALA N° 58,JOSEFINAMENDESROCA@gmail.com,,8093817,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
9,NOELIA,PEREDO,ARIAS,8093821,'1993-08-10',74125908,F,AV. IRALA N° 62,NOELIAPEREDOARIAS@gmail.com,,8093821,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
10,BETHZABÉ,ROMERO,GUTIERREZ,8093814,'1995-08-03',74125901,F,AV. IRALA N° 55,BETHZABÉROMEROGUTIERREZ@gmail.com,,8093814,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
11,GIPSSY,GARCIA,CHAVEZ,8093822,'1992-08-11',74125909,F,AV. IRALA N° 63,GIPSSYGARCIACHAVEZ@gmail.com,,8093822,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
12,EDWIN,EID,GONZALES,8093819,'1992-08-08',74125906,M,AV. IRALA N° 60,EDWINEIDGONZALES@gmail.com,,8093819,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
13,NOEMI,ARIAS,LOPEZ,8093815,'1999-08-04',74125902,F,AV. IRALA N° 56,NOEMIARIASLOPEZ@gmail.com,,8093815,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
14,RUBEN,ALEMAN,JUSTINIANO,8093818,'1991-08-07',74125905,M,AV. IRALA N° 59,RUBENALEMANJUSTINIANO@gmail.com,,8093818,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
15,CARLA,HINOJOSA,ROMERO,8093813,'1993-08-02',74125900,F,AV. IRALA N° 54,CARLAHINOJOSAROMERO@gmail.com,,8093813,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
16,LORENA,MENDES,RIVERA,8093823,'1994-08-12',74125910,F,AV. IRALA N° 64,LORENAMENDESRIVERA@gmail.com,,8093823,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
17,CAROLINA,BURGOS,RAMOS,8093824,'1993-02-08',74125911,F,AV. CENTENARIO N°85 3ER ANILLO,CAROLINABURGOSRAMOS@gmail.com,,8093824,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
18,CAROLA,CENZANO,MORENO,8093825,'1990-06-08',74125912,F,CALLE 24 SEPT. N°58,CAROLACENZANOMORENO@gmail.com,,8093825,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
19,ROSARIO,MENDOZA,SILES,8093826,'1995-07-02',74125913,F,BARRIO LINDO N°10,ROSARIOMENDOZASILES@gmail.com,,8093826,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
20,ANA ROSSYO,VARGAS,BERNAL,8093827,'1996-09-07',74125914,F,BARRIO LINDO N°11,ANAROSSYOVARGASBERNAL@gmail.com,,8093827,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
21,SAMUEL,PANIAGUA,CHORE,8093828,'1999-05-03',74125915,M,AV. CENTENARIO N°78 3ER ANILLO,SAMUELPANIAGUACHORE@gmail.com,,8093828,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
22,CECILIO,GALVIS,CHOVA,8093829,'1990-02-08',74125916,M,AV. CENTENARIO N°79 3ER ANILLO,CECILIOGALVISCHOVA@gmail.com,,8093829,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
23,ERICK,TERRAZAS,PERALTA,8093830,'1997-02-04',74125917,M,CALLE 24 SEPT. N°78,ERICKTERRAZASPERALTA@gmail.com,,8093830,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
24,VALENTIN,RIOS,PERES,8093831,'1996-06-08',74125918,M,BARRIO LINDO N°45,VALENTINRIOSPERES@gmail.com,,8093831,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
25,MARIA,LOPEZ,LAFARGE,8093832,'1990-12-09',74125919,F,AV. CENTENARIO N°23 3ER ANILLO,MARIALOPEZLAFARGE@gmail.com,,8093832,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
26,JOEL,MENDES,TORRICO,8093833,'1992-08-07',74125920,M,BARRIO LINDO N°86,JOELMENDESTORRICO@gmail.com,,8093833,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
27,ALEJANDRA,CHINO,MAYTA,8093834,'1999-05-01',74125921,F,CALLE 24 SEPT. N°77,ALEJANDRACHINOMAYTA@gmail.com,,8093834,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
28,VIVIANA,VIVEROS,MENCARI,8093835,'1998-03-02',74125922,F,CALLE 24 SEPT. N°78,VIVIANAVIVEROSMENCARI@gmail.com,,8093835,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
29,MARIANO,SALVATIERRA,LOPEZ,8093836,'1997-07-06',74125923,M,AV. CENTENARIO N°50 3ER ANILLO,MARIANOSALVATIERRALOPEZ@gmail.com,,8093836,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
30,AGUSTIN,GARCIA,CHORE,8093837,'1998-07-06',74125924,M,BARRIO LINDO N°71,AGUSTINGARCIACHORE@gmail.com,,8093837,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
31,MISAEL,ARENAS,CHOQUE,16414980,'2018-05-20',74125925,M,BARRIO LINDO N°72,MISAELARENASCHOQUE@gmail.com,,16414980,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
32,ZAID,BARBA,QUEVEDO,17024763,'2017-08-02',74125926,M,AV. BENI 123,ZAIDBARBAQUEVEDO@gmail.com,,17024763,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
33,RIHANNA,CABALLERO,JIMENEZ,17049148,'2017-07-09',74125927,F,CALLE AYACUCHO 456,RIHANNACABALLEROJIMENEZ@gmail.com,,17049148,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
34,JHERLY,CALISAYA,JUSTINIANO,16291156,'2018-06-28',74125928,F,AV. BANZER 789,JHERLYCALISAYAJUSTINIANO@gmail.com,,16291156,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
35,AARON,CESPEDES,COLQUE,15195615,'2018-02-28',74125929,M,CALLE FLORIDA 101,AARONCESPEDESCOLQUE@gmail.com,,15195615,Est.,,2024-06-07  5:32:47,2024-06-07  5:32:47
