id,nombre,apellidoPaterno,apellidoMaterno,ci,fechaNacimiento,telefono,sexo,direccion,email,email_verified_at,password,type,remember_token,created_at,updated_at
1,JOAQUIN,CHUMACERO,ANTELO,8093807,'1974-08-01',70000006,M,BARRIO LINDO N°15,admin@gmail.com,,$2y$10$Q6RmFP9kouvW/1xarOUDpObeX2aCLkbSvdhYcbdxLmO5uqejKntBW,Adm.,,2024-06-07  5:32:46,2024-06-07  5:32:46
2,EDSON,LOPEZ,RIVERA,8093809,'1984-04-01',74125896,M,BARRIO FE Y ALEGRIA N°35,EDSONLOPEZRIVERA@gmail.com,,$2y$10$79UzUsL.mwaS4rOtqGMKHuKBkkzPkRWde.BqLokYFQRECwwqclNmO,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
3,GUILLERMO,SUBIRANA,MENDEZ,8093810,'2018-07-01',74125897,M,BARRIO FE Y ALEGRIA N°35,GUILLERMOSUBIRANAMENDEZ@gmail.com,,$2y$10$Frbhfu06SDrvDYX6x43oceTfI/09XrtXbLHEioXms2haauFm7yA16,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
4,LUIS,CHAVEZ,RIVERO,8093811,'2016-05-01',74125898,M,BARRIO FE Y ALEGRIA N°35,LUISCHAVEZRIVERO@gmail.com,,$2y$10$k35JEgGtpJkScaA3PYpuxessYNsejdf/PUnlFtT6taqYq9N28Rpzq,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
5,MARIO,MAMANI,QUISPE,8093812,'1993-08-01',74125899,M,CALLE 24 SEPT. N°45,MARIOMAMANIQUISPE@gmail.com,,$2y$10$mBNYzCpMy54dIk12Emer2evdQdbDFtazvuaxk1lIBibxq41w4wrDO,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
6,YOANI,TABOADA,AYALA,8093816,'1983-08-05',74125903,F,AV. IRALA N° 57,YOANITABOADAAYALA@gmail.com,,$2y$10$T.2TNdfCpox4O1UjvdZAxuoIOZ2Nw5DAHGP1NVlQQxNzhYQrQiLqi,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
7,RUTH,HUAYLLAS,CHOQUE,8093820,'1990-08-09',74125907,F,AV. IRALA N° 61,RUTHHUAYLLASCHOQUE@gmail.com,,$2y$10$xKn1U0LKnQASSuNDCYYjd.kxr6YWke05KajrakNvHhx9bdDmFS3ke,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
8,JOSEFINA,MENDES,ROCA,8093817,'1995-08-06',74125904,F,AV. IRALA N° 58,JOSEFINAMENDESROCA@gmail.com,,$2y$10$ZpbIMNz.lEYXdQjgjPLeZOqWHgaykf2ZHeYfq/3dtozkIuinCtRYa,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
9,NOELIA,PEREDO,ARIAS,8093821,'1993-08-10',74125908,F,AV. IRALA N° 62,NOELIAPEREDOARIAS@gmail.com,,$2y$10$Up/DY7GtpP907f3986dF7.El7wYRsSfRP5ock6zzSVWkohU5yfkS2,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
10,BETHZABÉ,ROMERO,GUTIERREZ,8093814,'1995-08-03',74125901,F,AV. IRALA N° 55,BETHZABÉROMEROGUTIERREZ@gmail.com,,$2y$10$KnQ0F128Q2J4/4/S2Yu/3eIScSjbTDCnz0bjFV4ztuzEWyGg42O9y,prof.,,2024-06-07  5:32:46,2024-06-07  5:32:46
